º”‘ÿluaΩ≈±æ,0.001s
10000,0.16s
20000,0.39s
30000,0.629s
40000,0.85s
50000,1.033s
60000,1.267s
70000,1.423s
80000,1.653s
90000,1.887s
100000,2.058s
110000,2.296s
120000,2.582s
130000,2.655s
140000,2.942s
150000,3.074s
160000,3.301s
170000,3.537s
180000,3.718s
190000,3.978s
200000,4.159s
210000,4.293s
220000,4.505s
230000,4.732s
240000,4.921s
250000,5.064s
260000,5.447s
270000,5.661s
280000,5.805s
290000,6.055s
300000,6.209s
310000,6.799s
320000,6.484s
330000,6.686s
340000,6.957s
350000,7.194s
360000,7.398s
370000,7.652s
380000,7.845s
390000,7.991s
400000,8.353s
410000,8.409s
420000,8.662s
430000,8.987s
440000,9.184s
450000,9.397s
460000,9.643s
470000,9.676s
480000,10.018s
490000,10.255s
500000,10.405s
510000,10.651s
520000,10.973s
530000,11.196s
540000,11.252s
550000,11.426s
560000,11.777s
570000,11.929s
580000,11.963s
590000,12.176s
600000,12.328s
610000,12.409s
620000,12.641s
630000,12.751s
640000,13.129s
650000,13.251s
660000,13.647s
670000,15.107s
680000,15.553s
690000,15.709s
700000,15.89s
710000,16.093s
720000,16.289s
730000,16.319s
740000,16.234s
750000,16.903s
760000,17.04s
770000,17.288s
780000,17.347s
790000,17.567s
800000,18.093s
810000,17.674s
820000,18.425s
830000,18.514s
840000,18.903s
850000,19.351s
860000,18.903s
870000,18.302s
880000,18.543s
890000,18.72s
900000,18.871s
910000,19.087s
920000,19.471s
930000,19.575s
940000,19.764s
950000,20.078s
960000,20.356s
970000,20.469s
980000,20.556s
990000,20.791s
1000000,20.941s
